Frequency,AngleOfAttack,ChordLength, FreeStreamVelocity,SuctionSideDisplacementThickness,ScaledSoundPressureLevel
200,9.9,1.524,55.5,208.438,131.955
250,9.9,1.524,55.5,208.438,133.235
315,9.9,1.524,55.5,208.438,132.355
400,9.9,1.524,55.5,208.438,131.605
500,9.9,1.524,55.5,208.438,127.815
630,9.9,1.524,55.5,208.438,127.315
800,9.9,1.524,55.5,208.438,126.565
1000,9.9,1.524,55.5,208.438,124.665
1250,9.9,1.524,55.5,208.438,121.635
1600,9.9,1.524,55.5,208.438,119.875
2000,9.9,1.524,55.5,208.438,119.505
2500,9.9,1.524,55.5,208.438,118.365
3150,9.9,1.524,55.5,208.438,115.085
4000,9.9,1.524,55.5,208.438,112.945
5000,9.9,1.524,55.5,208.438,112.065
6300,9.9,1.524,55.5,208.438,110.555
200,9.9,1.524,39.6,233.328,127.315
250,9.9,1.524,39.6,233.328,128.335
315,9.9,1.524,39.6,233.328,128.595
400,9.9,1.524,39.6,233.328,128.345
500,9.9,1.524,39.6,233.328,126.835
630,9.9,1.524,39.6,233.328,126.465
800,9.9,1.524,39.6,233.328,126.345
1000,9.9,1.524,39.6,233.328,123.835
1250,9.9,1.524,39.6,233.328,120.555
1600,9.9,1.524,39.6,233.328,118.545
2000,9.9,1.524,39.6,233.328,117.925
2500,9.9,1.524,39.6,233.328,116.295
3150,9.9,1.524,39.6,233.328,113.525
4000,9.9,1.524,39.6,233.328,112.265
5000,9.9,1.524,39.6,233.328,111.135
6300,9.9,1.524,39.6,233.328,109.885
200,9.9,1.524,31.7,252.785,127.299
250,9.9,1.524,31.7,252.785,128.559
315,9.9,1.524,31.7,252.785,128.809
400,9.9,1.524,31.7,252.785,128.939
500,9.9,1.524,31.7,252.785,127.179
630,9.9,1.524,31.7,252.785,126.049
800,9.9,1.524,31.7,252.785,125.539
1000,9.9,1.524,31.7,252.785,122.149
1250,9.9,1.524,31.7,252.785,118.619
1600,9.9,1.524,31.7,252.785,117.119
2000,9.9,1.524,31.7,252.785,116.859
2500,9.9,1.524,31.7,252.785,114.729
3150,9.9,1.524,31.7,252.785,112.209
4000,9.9,1.524,31.7,252.785,111.459
5000,9.9,1.524,31.7,252.785,109.949
6300,9.9,1.524,31.7,252.785,108.689
200,12.6,1.524,71.3,483.159,128.354
250,12.6,1.524,71.3,483.159,129.744
315,12.6,1.524,71.3,483.159,128.484
400,12.6,1.524,71.3,483.159,127.094
500,12.6,1.524,71.3,483.159,121.664
630,12.6,1.524,71.3,483.159,123.304
800,12.6,1.524,71.3,483.159,123.054
1000,12.6,1.524,71.3,483.159,122.044
1250,12.6,1.524,71.3,483.159,120.154
1600,12.6,1.524,71.3,483.159,120.534
2000,12.6,1.524,71.3,483.159,117.504
2500,12.6,1.524,71.3,483.159,115.234
3150,12.6,1.524,71.3,483.159,113.334
4000,12.6,1.524,71.3,483.159,108.034
5000,12.6,1.524,71.3,483.159,108.034
6300,12.6,1.524,71.3,483.159,107.284
200,12.6,1.524,39.6,584.113,114.750
250,12.6,1.524,39.6,584.113,115.890
315,12.6,1.524,39.6,584.113,116.020
400,12.6,1.524,39.6,584.113,115.910
500,12.6,1.524,39.6,584.113,114.900
630,12.6,1.524,39.6,584.113,116.550
800,12.6,1.524,39.6,584.113,116.560
1000,12.6,1.524,39.6,584.113,114.670
1250,12.6,1.524,39.6,584.113,112.160
1600,12.6,1.524,39.6,584.113,110.780
2000,12.6,1.524,39.6,584.113,109.520
2500,12.6,1.524,39.6,584.113,106.880
3150,12.6,1.524,39.6,584.113,106.260
4000,12.6,1.524,39.6,584.113,104.500
5000,12.6,1.524,39.6,584.113,104.130
6300,12.6,1.524,39.6,584.113,103.380
800,0,508,71.3,740.478,130.960
1000,0,508,71.3,740.478,129.450
1250,0,508,71.3,740.478,128.560
1600,0,508,71.3,740.478,129.680
2000,0,508,71.3,740.478,131.060
2500,0,508,71.3,740.478,131.310
3150,0,508,71.3,740.478,135.070
4000,0,508,71.3,740.478,134.430
5000,0,508,71.3,740.478,134.430
6300,0,508,71.3,740.478,133.040
8000,0,508,71.3,740.478,130.890
10000,0,508,71.3,740.478,128.740
12500,0,508,71.3,740.478,125.220
800,0,508,55.5,76.193,124.336
1000,0,508,55.5,76.193,125.586
1250,0,508,55.5,76.193,127.076
1600,0,508,55.5,76.193,128.576
2000,0,508,55.5,76.193,131.456
2500,0,508,55.5,76.193,133.956
3150,0,508,55.5,76.193,134.826
4000,0,508,55.5,76.193,134.946
5000,0,508,55.5,76.193,134.556
6300,0,508,55.5,76.193,132.796
8000,0,508,55.5,76.193,130.156
10000,0,508,55.5,76.193,127.636
12500,0,508,55.5,76.193,125.376
800,0,508,39.6,791.822,126.508
1000,0,508,39.6,791.822,127.638
1250,0,508,39.6,791.822,129.148
1600,0,508,39.6,791.822,130.908
2000,0,508,39.6,791.822,132.918
2500,0,508,39.6,791.822,134.938
3150,0,508,39.6,791.822,135.938
4000,0,508,39.6,791.822,135.308
5000,0,508,39.6,791.822,134.308
6300,0,508,39.6,791.822,131.918
8000,0,508,39.6,791.822,128.518
10000,0,508,39.6,791.822,125.998
12500,0,508,39.6,791.822,123.988
800,0,508,31.7,812.164,122.790
1000,0,508,31.7,812.164,126.780
1250,0,508,31.7,812.164,129.270
1600,0,508,31.7,812.164,131.010
2000,0,508,31.7,812.164,133.010
2500,0,508,31.7,812.164,134.870
3150,0,508,31.7,812.164,135.490
4000,0,508,31.7,812.164,134.110
5000,0,508,31.7,812.164,133.230
6300,0,508,31.7,812.164,130.340
8000,0,508,31.7,812.164,126.590
10000,0,508,31.7,812.164,122.450
12500,0,508,31.7,812.164,119.070
1600,4.2,508,71.3,142.788,124.318
2000,4.2,508,71.3,142.788,129.848
2500,4.2,508,71.3,142.788,131.978
3150,4.2,508,71.3,142.788,133.728
4000,4.2,508,71.3,142.788,133.598
5000,4.2,508,71.3,142.788,132.828
6300,4.2,508,71.3,142.788,129.308
8000,4.2,508,71.3,142.788,125.268
10000,4.2,508,71.3,142.788,121.238
12500,4.2,508,71.3,142.788,117.328
1000,4.2,508,39.6,152.689,125.647
1250,4.2,508,39.6,152.689,128.427
1600,4.2,508,39.6,152.689,130.197
2000,4.2,508,39.6,152.689,132.587
2500,4.2,508,39.6,152.689,133.847
3150,4.2,508,39.6,152.689,133.587
4000,4.2,508,39.6,152.689,131.807
5000,4.2,508,39.6,152.689,129.777
6300,4.2,508,39.6,152.689,125.717
8000,4.2,508,39.6,152.689,120.397
10000,4.2,508,39.6,152.689,116.967
800,8.4,508,71.3,529.514,127.556
1000,8.4,508,71.3,529.514,129.946
1250,8.4,508,71.3,529.514,132.086
1600,8.4,508,71.3,529.514,133.846
2000,8.4,508,71.3,529.514,134.476
2500,8.4,508,71.3,529.514,134.226
3150,8.4,508,71.3,529.514,131.966
4000,8.4,508,71.3,529.514,126.926
5000,8.4,508,71.3,529.514,121.146
400,8.4,508,55.5,544.854,121.582
500,8.4,508,55.5,544.854,123.742
630,8.4,508,55.5,544.854,126.152
800,8.4,508,55.5,544.854,128.562
1000,8.4,508,55.5,544.854,130.722
1250,8.4,508,55.5,544.854,132.252
1600,8.4,508,55.5,544.854,133.032
2000,8.4,508,55.5,544.854,133.042
2500,8.4,508,55.5,544.854,131.542
3150,8.4,508,55.5,544.854,128.402
4000,8.4,508,55.5,544.854,122.612
5000,8.4,508,55.5,544.854,115.812
400,8.4,508,39.6,566.229,120.015
500,8.4,508,39.6,566.229,122.905
630,8.4,508,39.6,566.229,126.045
800,8.4,508,39.6,566.229,128.435
1000,8.4,508,39.6,566.229,130.195
1250,8.4,508,39.6,566.229,131.205
1600,8.4,508,39.6,566.229,130.965
2000,8.4,508,39.6,566.229,129.965
2500,8.4,508,39.6,566.229,127.465
3150,8.4,508,39.6,566.229,123.965
4000,8.4,508,39.6,566.229,118.955
400,8.4,508,31.7,580.776,120.076
500,8.4,508,31.7,580.776,122.966
630,8.4,508,31.7,580.776,125.856
800,8.4,508,31.7,580.776,128.246
1000,8.4,508,31.7,580.776,129.516
1250,8.4,508,31.7,580.776,130.156
1600,8.4,508,31.7,580.776,129.296
2000,8.4,508,31.7,580.776,127.686
2500,8.4,508,31.7,580.776,125.576
3150,8.4,508,31.7,580.776,122.086
4000,8.4,508,31.7,580.776,118.106
200,11.2,508,71.3,14.072,125.941
250,11.2,508,71.3,14.072,127.101
315,11.2,508,71.3,14.072,128.381
400,11.2,508,71.3,14.072,129.281
500,11.2,508,71.3,14.072,130.311
630,11.2,508,71.3,14.072,133.611
800,11.2,508,71.3,14.072,136.031
1000,11.2,508,71.3,14.072,136.941
1250,11.2,508,71.3,14.072,136.191
1600,11.2,508,71.3,14.072,135.191
2000,11.2,508,71.3,14.072,133.311
2500,11.2,508,71.3,14.072,130.541
3150,11.2,508,71.3,14.072,127.141
4000,11.2,508,71.3,14.072,122.471
200,11.2,508,39.6,150.478,125.010
250,11.2,508,39.6,150.478,126.430
315,11.2,508,39.6,150.478,128.990
400,11.2,508,39.6,150.478,130.670
500,11.2,508,39.6,150.478,131.960
630,11.2,508,39.6,150.478,133.130
800,11.2,508,39.6,150.478,133.790
1000,11.2,508,39.6,150.478,132.430
1250,11.2,508,39.6,150.478,130.050
1600,11.2,508,39.6,150.478,126.540
2000,11.2,508,39.6,150.478,124.420
2500,11.2,508,39.6,150.478,122.170
3150,11.2,508,39.6,150.478,119.670
4000,11.2,508,39.6,150.478,115.520
200,15.4,508,71.3,264.269,123.595
250,15.4,508,71.3,264.269,124.835
315,15.4,508,71.3,264.269,126.195
400,15.4,508,71.3,264.269,126.805
500,15.4,508,71.3,264.269,127.285
630,15.4,508,71.3,264.269,129.645
800,15.4,508,71.3,264.269,131.515
1000,15.4,508,71.3,264.269,131.865
1250,15.4,508,71.3,264.269,130.845
1600,15.4,508,71.3,264.269,130.065
2000,15.4,508,71.3,264.269,129.285
2500,15.4,508,71.3,264.269,127.625
3150,15.4,508,71.3,264.269,125.715
4000,15.4,508,71.3,264.269,122.675
5000,15.4,508,71.3,264.269,119.135
6300,15.4,508,71.3,264.269,115.215
8000,15.4,508,71.3,264.269,112.675
200,15.4,508,55.5,271.925,122.940
250,15.4,508,55.5,271.925,124.170
315,15.4,508,55.5,271.925,125.390
400,15.4,508,55.5,271.925,126.500
500,15.4,508,55.5,271.925,127.220
630,15.4,508,55.5,271.925,129.330
800,15.4,508,55.5,271.925,130.430
1000,15.4,508,55.5,271.925,130.400
1250,15.4,508,55.5,271.925,130.000
1600,15.4,508,55.5,271.925,128.200
2000,15.4,508,55.5,271.925,127.040
2500,15.4,508,55.5,271.925,125.630
3150,15.4,508,55.5,271.925,123.460
4000,15.4,508,55.5,271.925,120.920
5000,15.4,508,55.5,271.925,117.110
6300,15.4,508,55.5,271.925,112.930
200,15.4,508,39.6,282.593,121.783
250,15.4,508,39.6,282.593,122.893
315,15.4,508,39.6,282.593,124.493
400,15.4,508,39.6,282.593,125.353
500,15.4,508,39.6,282.593,125.963
630,15.4,508,39.6,282.593,127.443
800,15.4,508,39.6,282.593,128.423
1000,15.4,508,39.6,282.593,127.893
1250,15.4,508,39.6,282.593,126.743
1600,15.4,508,39.6,282.593,124.843
2000,15.4,508,39.6,282.593,123.443
2500,15.4,508,39.6,282.593,122.413
3150,15.4,508,39.6,282.593,120.513
4000,15.4,508,39.6,282.593,118.113
5000,15.4,508,39.6,282.593,114.453
6300,15.4,508,39.6,282.593,109.663
200,15.4,508,31.7,289.853,119.975
250,15.4,508,31.7,289.853,121.225
315,15.4,508,31.7,289.853,122.845
400,15.4,508,31.7,289.853,123.705
500,15.4,508,31.7,289.853,123.695
630,15.4,508,31.7,289.853,124.685
800,15.4,508,31.7,289.853,125.555
1000,15.4,508,31.7,289.853,124.525
1250,15.4,508,31.7,289.853,123.255
1600,15.4,508,31.7,289.853,121.485
2000,15.4,508,31.7,289.853,120.835
2500,15.4,508,31.7,289.853,119.945
3150,15.4,508,31.7,289.853,118.045
4000,15.4,508,31.7,289.853,115.635
5000,15.4,508,31.7,289.853,112.355
6300,15.4,508,31.7,289.853,108.185
200,19.7,508,71.3,341.183,118.005
250,19.7,508,71.3,341.183,119.115
315,19.7,508,71.3,341.183,121.235
400,19.7,508,71.3,341.183,123.865
500,19.7,508,71.3,341.183,126.995
630,19.7,508,71.3,341.183,128.365
800,19.7,508,71.3,341.183,124.555
1000,19.7,508,71.3,341.183,121.885
1250,19.7,508,71.3,341.183,121.485
1600,19.7,508,71.3,341.183,120.575
2000,19.7,508,71.3,341.183,120.055
2500,19.7,508,71.3,341.183,118.385
3150,19.7,508,71.3,341.183,116.225
4000,19.7,508,71.3,341.183,113.045
200,19.7,508,39.6,36.484,125.974
250,19.7,508,39.6,36.484,127.224
315,19.7,508,39.6,36.484,129.864
400,19.7,508,39.6,36.484,130.614
500,19.7,508,39.6,36.484,128.444
630,19.7,508,39.6,36.484,120.324
800,19.7,508,39.6,36.484,119.174
1000,19.7,508,39.6,36.484,118.904
1250,19.7,508,39.6,36.484,118.634
1600,19.7,508,39.6,36.484,117.604
2000,19.7,508,39.6,36.484,117.724
2500,19.7,508,39.6,36.484,116.184
3150,19.7,508,39.6,36.484,113.004
4000,19.7,508,39.6,36.484,108.684
2500,0,254,71.3,400.682,133.707
3150,0,254,71.3,400.682,137.007
4000,0,254,71.3,400.682,138.557
5000,0,254,71.3,400.682,136.837
6300,0,254,71.3,400.682,134.987
8000,0,254,71.3,400.682,129.867
10000,0,254,71.3,400.682,130.787
12500,0,254,71.3,400.682,133.207
16000,0,254,71.3,400.682,130.477
20000,0,254,71.3,400.682,123.217
2000,0,254,55.5,41.229,127.623
2500,0,254,55.5,41.229,130.073
3150,0,254,55.5,41.229,130.503
4000,0,254,55.5,41.229,133.223
5000,0,254,55.5,41.229,135.803
6300,0,254,55.5,41.229,136.103
8000,0,254,55.5,41.229,136.163
10000,0,254,55.5,41.229,134.563
12500,0,254,55.5,41.229,131.453
16000,0,254,55.5,41.229,125.683
20000,0,254,55.5,41.229,121.933
1600,0,254,39.6,428.464,124.156
2000,0,254,39.6,428.464,130.026
2500,0,254,39.6,428.464,131.836
3150,0,254,39.6,428.464,133.276
4000,0,254,39.6,428.464,135.346
5000,0,254,39.6,428.464,136.536
6300,0,254,39.6,428.464,136.826
8000,0,254,39.6,428.464,135.866
10000,0,254,39.6,428.464,133.376
12500,0,254,39.6,428.464,129.116
16000,0,254,39.6,428.464,124.986
1000,0,254,31.7,439.472,125.127
1250,0,254,31.7,439.472,127.947
1600,0,254,31.7,439.472,129.267
2000,0,254,31.7,439.472,130.697
2500,0,254,31.7,439.472,132.897
3150,0,254,31.7,439.472,135.227
4000,0,254,31.7,439.472,137.047
5000,0,254,31.7,439.472,138.607
6300,0,254,31.7,439.472,138.537
8000,0,254,31.7,439.472,137.207
10000,0,254,31.7,439.472,134.227
12500,0,254,31.7,439.472,128.977
16000,0,254,31.7,439.472,125.627
2000,4.8,254,71.3,848.633,128.398
2500,4.8,254,71.3,848.633,130.828
3150,4.8,254,71.3,848.633,133.378
4000,4.8,254,71.3,848.633,134.928
5000,4.8,254,71.3,848.633,135.468
6300,4.8,254,71.3,848.633,134.498
8000,4.8,254,71.3,848.633,131.518
10000,4.8,254,71.3,848.633,127.398
12500,4.8,254,71.3,848.633,127.688
16000,4.8,254,71.3,848.633,124.208
20000,4.8,254,71.3,848.633,119.708
1600,4.8,254,55.5,873.218,121.474
2000,4.8,254,55.5,873.218,125.054
2500,4.8,254,55.5,873.218,129.144
3150,4.8,254,55.5,873.218,132.354
4000,4.8,254,55.5,873.218,133.924
5000,4.8,254,55.5,873.218,135.484
6300,4.8,254,55.5,873.218,135.164
8000,4.8,254,55.5,873.218,132.184
10000,4.8,254,55.5,873.218,126.944
12500,4.8,254,55.5,873.218,125.094
16000,4.8,254,55.5,873.218,124.394
20000,4.8,254,55.5,873.218,121.284
500,4.8,254,39.6,907.475,116.366
630,4.8,254,39.6,907.475,118.696
800,4.8,254,39.6,907.475,120.766
1000,4.8,254,39.6,907.475,122.956
1250,4.8,254,39.6,907.475,125.026
1600,4.8,254,39.6,907.475,125.966
2000,4.8,254,39.6,907.475,128.916
2500,4.8,254,39.6,907.475,131.236
3150,4.8,254,39.6,907.475,133.436
4000,4.8,254,39.6,907.475,134.996
5000,4.8,254,39.6,907.475,135.426
6300,4.8,254,39.6,907.475,134.336
8000,4.8,254,39.6,907.475,131.346
10000,4.8,254,39.6,907.475,126.066
500,4.8,254,31.7,930.789,116.128
630,4.8,254,31.7,930.789,120.078
800,4.8,254,31.7,930.789,122.648
1000,4.8,254,31.7,930.789,125.348
1250,4.8,254,31.7,930.789,127.408
1600,4.8,254,31.7,930.789,128.718
2000,4.8,254,31.7,930.789,130.148
2500,4.8,254,31.7,930.789,132.588
3150,4.8,254,31.7,930.789,134.268
4000,4.8,254,31.7,930.789,135.328
5000,4.8,254,31.7,930.789,135.248
6300,4.8,254,31.7,930.789,132.898
8000,4.8,254,31.7,930.789,127.008
630,9.5,254,71.3,420.654,125.726
800,9.5,254,71.3,420.654,127.206
1000,9.5,254,71.3,420.654,129.556
1250,9.5,254,71.3,420.654,131.656
1600,9.5,254,71.3,420.654,133.756
2000,9.5,254,71.3,420.654,134.976
2500,9.5,254,71.3,420.654,135.956
3150,9.5,254,71.3,420.654,136.166
4000,9.5,254,71.3,420.654,134.236
5000,9.5,254,71.3,420.654,131.186
6300,9.5,254,71.3,420.654,127.246
400,9.5,254,55.5,43.284,120.952
500,9.5,254,55.5,43.284,123.082
630,9.5,254,55.5,43.284,125.452
800,9.5,254,55.5,43.284,128.082
1000,9.5,254,55.5,43.284,130.332
1250,9.5,254,55.5,43.284,132.202
1600,9.5,254,55.5,43.284,133.062
2000,9.5,254,55.5,43.284,134.052
2500,9.5,254,55.5,43.284,134.152
3150,9.5,254,55.5,43.284,133.252
4000,9.5,254,55.5,43.284,131.582
5000,9.5,254,55.5,43.284,128.412
6300,9.5,254,55.5,43.284,124.222
200,9.5,254,39.6,449.821,116.074
250,9.5,254,39.6,449.821,116.924
315,9.5,254,39.6,449.821,119.294
400,9.5,254,39.6,449.821,121.154
500,9.5,254,39.6,449.821,123.894
630,9.5,254,39.6,449.821,126.514
800,9.5,254,39.6,449.821,129.014
1000,9.5,254,39.6,449.821,130.374
1250,9.5,254,39.6,449.821,130.964
1600,9.5,254,39.6,449.821,131.184
2000,9.5,254,39.6,449.821,131.274
2500,9.5,254,39.6,449.821,131.234
3150,9.5,254,39.6,449.821,129.934
4000,9.5,254,39.6,449.821,127.864
5000,9.5,254,39.6,449.821,125.044
6300,9.5,254,39.6,449.821,120.324
200,9.5,254,31.7,461.377,119.146
250,9.5,254,31.7,461.377,120.136
315,9.5,254,31.7,461.377,122.766
400,9.5,254,31.7,461.377,124.756
500,9.5,254,31.7,461.377,126.886
630,9.5,254,31.7,461.377,129.006
800,9.5,254,31.7,461.377,130.746
1000,9.5,254,31.7,461.377,131.346
1250,9.5,254,31.7,461.377,131.446
1600,9.5,254,31.7,461.377,131.036
2000,9.5,254,31.7,461.377,130.496
2500,9.5,254,31.7,461.377,130.086
3150,9.5,254,31.7,461.377,128.536
4000,9.5,254,31.7,461.377,126.736
5000,9.5,254,31.7,461.377,124.426
6300,9.5,254,31.7,461.377,120.726
250,12.7,254,71.3,121.808,119.698
315,12.7,254,71.3,121.808,122.938
400,12.7,254,71.3,121.808,125.048
500,12.7,254,71.3,121.808,126.898
630,12.7,254,71.3,121.808,128.878
800,12.7,254,71.3,121.808,130.348
1000,12.7,254,71.3,121.808,131.698
1250,12.7,254,71.3,121.808,133.048
1600,12.7,254,71.3,121.808,134.528
2000,12.7,254,71.3,121.808,134.228
2500,12.7,254,71.3,121.808,134.058
3150,12.7,254,71.3,121.808,133.758
4000,12.7,254,71.3,121.808,131.808
5000,12.7,254,71.3,121.808,128.978
6300,12.7,254,71.3,121.808,125.398
8000,12.7,254,71.3,121.808,120.538
10000,12.7,254,71.3,121.808,114.418
250,12.7,254,39.6,130.253,121.547
315,12.7,254,39.6,130.253,123.537
400,12.7,254,39.6,130.253,125.527
500,12.7,254,39.6,130.253,127.127
630,12.7,254,39.6,130.253,128.867
800,12.7,254,39.6,130.253,130.217
1000,12.7,254,39.6,130.253,130.947
1250,12.7,254,39.6,130.253,130.777
1600,12.7,254,39.6,130.253,129.977
2000,12.7,254,39.6,130.253,129.567
2500,12.7,254,39.6,130.253,129.027
3150,12.7,254,39.6,130.253,127.847
4000,12.7,254,39.6,130.253,126.537
5000,12.7,254,39.6,130.253,125.107
6300,12.7,254,39.6,130.253,123.177
8000,12.7,254,39.6,130.253,120.607
10000,12.7,254,39.6,130.253,116.017
200,17.4,254,71.3,16.104,112.506
250,17.4,254,71.3,16.104,113.796
315,17.4,254,71.3,16.104,115.846
400,17.4,254,71.3,16.104,117.396
500,17.4,254,71.3,16.104,119.806
630,17.4,254,71.3,16.104,122.606
800,17.4,254,71.3,16.104,124.276
1000,17.4,254,71.3,16.104,125.816
1250,17.4,254,71.3,16.104,126.356
1600,17.4,254,71.3,16.104,126.406
2000,17.4,254,71.3,16.104,126.826
2500,17.4,254,71.3,16.104,126.746
3150,17.4,254,71.3,16.104,126.536
4000,17.4,254,71.3,16.104,125.586
5000,17.4,254,71.3,16.104,123.126
6300,17.4,254,71.3,16.104,119.916
8000,17.4,254,71.3,16.104,115.466
200,17.4,254,55.5,165.706,109.951
250,17.4,254,55.5,165.706,110.491
315,17.4,254,55.5,165.706,111.911
400,17.4,254,55.5,165.706,115.461
500,17.4,254,55.5,165.706,119.621
630,17.4,254,55.5,165.706,122.411
800,17.4,254,55.5,165.706,123.091
1000,17.4,254,55.5,165.706,126.001
1250,17.4,254,55.5,165.706,129.301
1600,17.4,254,55.5,165.706,126.471
2000,17.4,254,55.5,165.706,125.261
2500,17.4,254,55.5,165.706,124.931
3150,17.4,254,55.5,165.706,124.101
4000,17.4,254,55.5,165.706,121.771
5000,17.4,254,55.5,165.706,118.941
6300,17.4,254,55.5,165.706,114.861
200,17.4,254,39.6,172.206,114.044
250,17.4,254,39.6,172.206,114.714
315,17.4,254,39.6,172.206,115.144
400,17.4,254,39.6,172.206,115.444
500,17.4,254,39.6,172.206,117.514
630,17.4,254,39.6,172.206,124.514
800,17.4,254,39.6,172.206,135.324
1000,17.4,254,39.6,172.206,138.274
1250,17.4,254,39.6,172.206,131.364
1600,17.4,254,39.6,172.206,127.614
2000,17.4,254,39.6,172.206,126.644
2500,17.4,254,39.6,172.206,124.154
3150,17.4,254,39.6,172.206,123.564
4000,17.4,254,39.6,172.206,122.724
5000,17.4,254,39.6,172.206,119.854
200,17.4,254,31.7,176.631,116.146
250,17.4,254,31.7,176.631,116.956
315,17.4,254,31.7,176.631,118.416
400,17.4,254,31.7,176.631,120.766
500,17.4,254,31.7,176.631,127.676
630,17.4,254,31.7,176.631,136.886
800,17.4,254,31.7,176.631,139.226
1000,17.4,254,31.7,176.631,131.796
1250,17.4,254,31.7,176.631,128.306
1600,17.4,254,31.7,176.631,126.846
2000,17.4,254,31.7,176.631,124.356
2500,17.4,254,31.7,176.631,124.166
3150,17.4,254,31.7,176.631,123.466
4000,17.4,254,31.7,176.631,121.996
5000,17.4,254,31.7,176.631,117.996
315,22.2,254,71.3,214.178,115.857
400,22.2,254,71.3,214.178,117.927
500,22.2,254,71.3,214.178,117.967
630,22.2,254,71.3,214.178,120.657
800,22.2,254,71.3,214.178,123.227
1000,22.2,254,71.3,214.178,134.247
1250,22.2,254,71.3,214.178,140.987
1600,22.2,254,71.3,214.178,131.817
2000,22.2,254,71.3,214.178,127.197
2500,22.2,254,71.3,214.178,126.097
3150,22.2,254,71.3,214.178,124.127
4000,22.2,254,71.3,214.178,123.917
5000,22.2,254,71.3,214.178,125.727
6300,22.2,254,71.3,214.178,123.127
8000,22.2,254,71.3,214.178,121.657
200,22.2,254,39.6,229.028,116.066
250,22.2,254,39.6,229.028,117.386
315,22.2,254,39.6,229.028,120.716
400,22.2,254,39.6,229.028,123.416
500,22.2,254,39.6,229.028,129.776
630,22.2,254,39.6,229.028,137.026
800,22.2,254,39.6,229.028,137.076
1000,22.2,254,39.6,229.028,128.416
1250,22.2,254,39.6,229.028,126.446
1600,22.2,254,39.6,229.028,122.216
2000,22.2,254,39.6,229.028,121.256
2500,22.2,254,39.6,229.028,121.306
3150,22.2,254,39.6,229.028,120.856
4000,22.2,254,39.6,229.028,119.646
5000,22.2,254,39.6,229.028,118.816
630,0,1.016,71.3,121.072,124.155
800,0,1.016,71.3,121.072,126.805
1000,0,1.016,71.3,121.072,128.825
1250,0,1.016,71.3,121.072,130.335
1600,0,1.016,71.3,121.072,131.725
2000,0,1.016,71.3,121.072,132.095
2500,0,1.016,71.3,121.072,132.595
3150,0,1.016,71.3,121.072,131.955
4000,0,1.016,71.3,121.072,130.935
5000,0,1.016,71.3,121.072,130.795
6300,0,1.016,71.3,121.072,129.395
8000,0,1.016,71.3,121.072,125.465
10000,0,1.016,71.3,121.072,123.305
12500,0,1.016,71.3,121.072,119.375
630,0,1.016,55.5,131.983,126.170
800,0,1.016,55.5,131.983,127.920
1000,0,1.016,55.5,131.983,129.800
1250,0,1.016,55.5,131.983,131.430
1600,0,1.016,55.5,131.983,132.050
2000,0,1.016,55.5,131.983,132.540
2500,0,1.016,55.5,131.983,133.040
3150,0,1.016,55.5,131.983,131.780
4000,0,1.016,55.5,131.983,129.500
5000,0,1.016,55.5,131.983,128.360
6300,0,1.016,55.5,131.983,127.730
8000,0,1.016,55.5,131.983,124.450
10000,0,1.016,55.5,131.983,121.930
12500,0,1.016,55.5,131.983,119.910
630,0,1.016,39.6,146.332,125.401
800,0,1.016,39.6,146.332,128.401
1000,0,1.016,39.6,146.332,130.781
1250,0,1.016,39.6,146.332,132.271
1600,0,1.016,39.6,146.332,133.261
2000,0,1.016,39.6,146.332,133.251
2500,0,1.016,39.6,146.332,132.611
3150,0,1.016,39.6,146.332,130.961
4000,0,1.016,39.6,146.332,127.801
5000,0,1.016,39.6,146.332,126.021
6300,0,1.016,39.6,146.332,125.631
8000,0,1.016,39.6,146.332,122.341
10000,0,1.016,39.6,146.332,119.561
630,0,1.016,31.7,150.092,126.413
800,0,1.016,31.7,150.092,129.053
1000,0,1.016,31.7,150.092,131.313
1250,0,1.016,31.7,150.092,133.063
1600,0,1.016,31.7,150.092,133.553
2000,0,1.016,31.7,150.092,133.153
2500,0,1.016,31.7,150.092,132.003
3150,0,1.016,31.7,150.092,129.973
4000,0,1.016,31.7,150.092,126.933
5000,0,1.016,31.7,150.092,124.393
6300,0,1.016,31.7,150.092,124.253
8000,0,1.016,31.7,150.092,120.193
10000,0,1.016,31.7,150.092,115.893
800,3.3,1.016,71.3,202.822,131.074
1000,3.3,1.016,71.3,202.822,131.434
1250,3.3,1.016,71.3,202.822,132.304
1600,3.3,1.016,71.3,202.822,133.664
2000,3.3,1.016,71.3,202.822,134.034
2500,3.3,1.016,71.3,202.822,133.894
3150,3.3,1.016,71.3,202.822,132.114
4000,3.3,1.016,71.3,202.822,128.704
5000,3.3,1.016,71.3,202.822,127.054
6300,3.3,1.016,71.3,202.822,124.904
8000,3.3,1.016,71.3,202.822,121.234
10000,3.3,1.016,71.3,202.822,116.694
630,3.3,1.016,55.5,2.211,126.599
800,3.3,1.016,55.5,2.211,129.119
1000,3.3,1.016,55.5,2.211,131.129
1250,3.3,1.016,55.5,2.211,132.769
1600,3.3,1.016,55.5,2.211,133.649
2000,3.3,1.016,55.5,2.211,133.649
2500,3.3,1.016,55.5,2.211,132.889
3150,3.3,1.016,55.5,2.211,130.629
4000,3.3,1.016,55.5,2.211,127.229
5000,3.3,1.016,55.5,2.211,124.839
6300,3.3,1.016,55.5,2.211,123.839
